name
background
left root
    left Basic cell groups and regions
        left Cerebrum
            left Cerebral cortex
                left Cortical plate
                    left Isocortex
"                                left Anteromedial visual area, layer 6a"
"                                left Anteromedial visual area, layer 6b"
                            left Lateral visual area
"                                left Lateral visual area, layer 1"
"                                left Lateral visual area, layer 2/3"
"                                left Lateral visual area, layer 4"
"                                left Lateral visual area, layer 5"
"                                left Lateral visual area, layer 6a"
"                                left Lateral visual area, layer 6b"
                            left Primary visual area
"                                left Primary visual area, layer 1"
"                                left Primary visual area, layer 2/3"
"                                left Primary visual area, layer 4"
"                                left Primary visual area, layer 5"
"                                left Primary visual area, layer 6a"
"                                left Primary visual area, layer 6b"
                            left Posterolateral visual area
"                                left Posterolateral visual area, layer 1"
"                                left Posterolateral visual area, layer 2/3"
"                                left Posterolateral visual area, layer 4"
"                                left Posterolateral visual area, layer 5"
"                                left Posterolateral visual area, layer 6a"
"                                left Posterolateral visual area, layer 6b"
                            left posteromedial visual area
"                                left posteromedial visual area, layer 1"
"                                left posteromedial visual area, layer 2/3"
"                                left posteromedial visual area, layer 4"
"                                left posteromedial visual area, layer 5"
"                                left posteromedial visual area, layer 6a"
"                                left posteromedial visual area, layer 6b"
                            left Laterointermediate area
"                                left Laterointermediate area, layer 1"
"                                left Laterointermediate area, layer 2/3"
"                                left Laterointermediate area, layer 4"
"                                left Laterointermediate area, layer 5"
"                                left Laterointermediate area, layer 6a"
"                                left Laterointermediate area, layer 6b"
                            left Postrhinal area
"                                left Postrhinal area, layer 1"
"                                left Postrhinal area, layer 2/3"
"                                left Postrhinal area, layer 4"
"                                left Postrhinal area, layer 5"
"                                left Postrhinal area, layer 6a"
"                                left Postrhinal area, layer 6b"
                        left Anterior cingulate area
"                            left Anterior cingulate area, dorsal part"
"                                left Anterior cingulate area, dorsal part, layer 1"
"                                left Anterior cingulate area, dorsal part, layer 2/3"
"                                left Anterior cingulate area, dorsal part, layer 5"
"                                left Anterior cingulate area, dorsal part, layer 6a"
"                                left Anterior cingulate area, dorsal part, layer 6b"
"                            left Anterior cingulate area, ventral part"
"                                left Anterior cingulate area, ventral part, layer 1"
"                                left Anterior cingulate area, ventral part, layer 2/3"
"                                left Anterior cingulate area, ventral part, layer 5"
"                                left Anterior cingulate area, ventral part, 6a"
"                                left Anterior cingulate area, ventral part, 6b"
                        left Prelimbic area
"                            left Prelimbic area, layer 1"
"                            left Prelimbic area, layer 2/3"
"                            left Prelimbic area, layer 5"
"                            left Prelimbic area, layer 6a"
"                            left Prelimbic area, layer 6b"
                        left Infralimbic area
"                            left Infralimbic area, layer 1"
"                            left Infralimbic area, layer 2/3"
"                            left Infralimbic area, layer 5"
"                            left Infralimbic area, layer 6a"
"                            left Infralimbic area, layer 6b"
                        left Orbital area
"                            left Orbital area, lateral part"
"                                left Orbital area, lateral part, layer 1"
"                                left Orbital area, lateral part, layer 2/3"
"                                left Orbital area, lateral part, layer 5"
"                                left Orbital area, lateral part, layer 6a"
"                                left Orbital area, lateral part, layer 6b"
"                            left Orbital area, medial part"
"                                left Orbital area, medial part, layer 1"
"                                left Orbital area, medial part, layer 2/3"
"                                left Orbital area, medial part, layer 5"
"                                left Orbital area, medial part, layer 6a"
"                                left Orbital area, medial part, layer 6b"
"                            left Orbital area, ventrolateral part"
"                                left Orbital area, ventrolateral part, layer 1"
"                                left Orbital area, ventrolateral part, layer 2/3"
"                                left Orbital area, ventrolateral part, layer 5"
"                                left Orbital area, ventrolateral part, layer 6a"
"                                left Orbital area, ventrolateral part, layer 6b"
                        left Agranular insular area
"                            left Agranular insular area, dorsal part"
"                                left Agranular insular area, dorsal part, layer 1"
"                                left Agranular insular area, dorsal part, layer 2/3"
"                                left Agranular insular area, dorsal part, layer 5"
"                                left Agranular insular area, dorsal part, layer 6a"
"                                left Agranular insular area, dorsal part, layer 6b"
"                            left Agranular insular area, posterior part"
"                                left Agranular insular area, posterior part, layer 1"
"                                left Agranular insular area, posterior part, layer 2/3"
"                                left Agranular insular area, posterior part, layer 5"
"                                left Agranular insular area, posterior part, layer 6a"
"                                left Agranular insular area, posterior part, layer 6b"
"                            left Agranular insular area, ventral part"
"                                left Agranular insular area, ventral part, layer 1"
"                                left Agranular insular area, ventral part, layer 2/3"
"                                left Agranular insular area, ventral part, layer 5"
"                                left Agranular insular area, ventral part, layer 6a"
"                                left Agranular insular area, ventral part, layer 6b"
                        left Retrosplenial area
"                            left Retrosplenial area, lateral agranular part"
"                                left Retrosplenial area, lateral agranular part, layer 1"
"                                left Retrosplenial area, lateral agranular part, layer 2/3"
"                                left Retrosplenial area, lateral agranular part, layer 5"
"                                left Retrosplenial area, lateral agranular part, layer 6a"
"                                left Retrosplenial area, lateral agranular part, layer 6b"
"                            left Retrosplenial area, dorsal part"
"                                left Retrosplenial area, dorsal part, layer 1"
"                                left Retrosplenial area, dorsal part, layer 2/3"
"                                left Retrosplenial area, dorsal part, layer 5"
"                                left Retrosplenial area, dorsal part, layer 6a"
"                                left Retrosplenial area, dorsal part, layer 6b"
"                            left Retrosplenial area, ventral part"
"                                left Retrosplenial area, ventral part, layer 1"
"                                left Retrosplenial area, ventral part, layer 2/3"
"                                left Retrosplenial area, ventral part, layer 5"
"                                left Retrosplenial area, ventral part, layer 6a"
"                                left Retrosplenial area, ventral part, layer 6b"
