0
 frontal pole
 insular cortex
 superior frontal gyrus
 middle frontal gyrus
 inferior frontal gyrus
 precentral gyrus
 temporal pole
 superior temporal gyrus
 middle temporal gyrus
 inferior temporal gyrus
 postcentral gyrus
 superior parietal lobule
 supramarginal gyrus
 angular gyrus
 lateral occipital cortex
 intracalcarine cortex
 frontal medial cortex
 juxtapositional lobule cortex (formerly supplementary motor cortex)
 subcallosal cortex
 paracingulate gyrus
 cingulate gyrus
 precuneous cortex
 cuneal cortex
 frontal orbital cortex
 parahippocampal gyrus
 lingual gyrus
 temporal fusiform cortex
 temporal occipital fusiform cortex
 occipital fusiform gyrus
 frontal opercular cortex
 central opercular cortex
 parietal opercular cortex
 planum polare
 heschl's gyrus (includes h1 and h2)
 planum temporale
 supracalcarine cortex
 occipital pole
 background
 precentral
 rolandic
 olfactory
 rectus
 insula
 cingulum
 hippocampus
 parahippocampal
 amygdala
 calcarine
 cuneus
 lingual
 fusiform
 postcentral
 supramarginal
 angular
 precuneus
 paracentral
 caudate
 putamen
 pallidum
 thalamus
 heschl
 cerebelum
 vermis
 ifg pars orbitalis
 rolandic operculum
 supplementary motor area
 olfactory cortex
 gyrus rectus
 medial orbital gyrus
 anterior orbital gyrus
 posterior orbital gyrus
 lateral orbital gyrus
 anterior cingulate & paracingulate gyri
 middle cingulate & paracingulate gyri
 posterior cingulate gyrus
 calcarine fissure and surrounding cortex
 superior occipital gyrus
 middle occipital gyrus
 inferior occipital gyrus
 fusiform gyrus
 superior parietal gyrus
 inferior parietal gyrus
 paracentral lobule
 caudate nucleus
 lenticular nucleus
 heschl’s gyrus
 temporal pole: superior temporal gyrus
 temporal pole: middle temporal gyrus
 crus i of cerebellar hemisphere
 crus ii of cerebellar hemisphere
 lobule iii of cerebellar hemisphere
 lobule iv
 lobule vi of cerebellar hemisphere
 lobule viib of cerebellar hemisphere
 lobule viii of cerebellar hemisphere
 lobule ix of cerebellar hemisphere
 lobule x of cerebellar hemisphere
 lobule i
 lobule iii of vermis
 lobule vi of vermis
 lobule vii of vermis
 lobule viii of vermis
 lobule ix of vermis
 lobule x of vermis
 lateral posterior
 ventral anterior
 ventral lateral
 ventral posterolateral
 intralaminar
 reuniens
 mediodorsal medial magnocellular
 mediodorsal lateral parvocellular
 lateral geniculate
 medial geniculate
 pulvinar anterior
 pulvinar medial
 pulvinar lateral
 pulvinar inferior
 anterior cingulate cortex
 nucleus accumbens
 ventral tegmental area
 substantia nigra
 red nucleus
 locus coeruleus
 raphe nucleus
 cerebrum
 cerebral cortex
 cortical plate
 isocortex
 somatomotor areas
 primary motor area
 secondary motor area
 somatosensory areas
 primary somatosensory area
 supplemental somatosensory area
 gustatory areas
 visceral area
 auditory areas
 dorsal auditory area
 primary auditory area
 posterior auditory area
 ventral auditory area
 visual areas
 anterolateral visual area
 anteromedial visual area
 lateral visual area
 primary visual area
 posterolateral visual area
 posteromedial visual area
 laterointermediate area
 postrhinal area
 anterior cingulate area
 prelimbic area
 infralimbic area
 orbital area
 agranular insular area
 retrosplenial area
 posterior parietal association areas
 anterior area
 rostrolateral visual area
 rostrolateral area
 temporal association areas
 perirhinal area
 ectorhinal area
 ectorhinal area/layer 1
 ectorhinal area/layer 2/3
 ectorhinal area/layer 5
 ectorhinal area/layer 6a
 ectorhinal area/layer 6b
 olfactory areas
 main olfactory bulb
 accessory olfactory bulb
 anterior olfactory nucleus
 taenia tecta
 dorsal peduncular area
 piriform area
 nucleus of the lateral olfactory tract
 cortical amygdalar area
 piriform-amygdalar area
 postpiriform transition area
 hippocampal formation
 hippocampal region
 ammon's horn
 field ca1
 field ca2
 field ca3
 dentate gyrus
 fasciola cinerea
 induseum griseum
 retrohippocampal region
 entorhinal area
 parasubiculum
 postsubiculum
 presubiculum
 subiculum
 prosubiculum
 hippocampo-amygdalar transition area
 area prostriata
 cortical subplate
 claustrum
 endopiriform nucleus
 lateral amygdalar nucleus
 basolateral amygdalar nucleus
 basomedial amygdalar nucleus
 posterior amygdalar nucleus
 cerebral nuclei
 striatum
 striatum dorsal region
 caudoputamen
 striatum ventral region
 fundus of striatum
 olfactory tubercle
 lateral septal complex
 lateral septal nucleus
 septofimbrial nucleus
 septohippocampal nucleus
 striatum-like amygdalar nuclei
 anterior amygdalar area
 bed nucleus of the accessory olfactory tract
 central amygdalar nucleus
 intercalated amygdalar nucleus
 medial amygdalar nucleus
 globus pallidus
 substantia innominata
 magnocellular nucleus
 medial septal complex
 medial septal nucleus
 diagonal band nucleus
 triangular nucleus of septum
 bed nuclei of the stria terminalis
 bed nucleus of the anterior commissure
 brain stem
 interbrain
 ventral group of the dorsal thalamus
 ventral anterior-lateral complex of the thalamus
 ventral medial nucleus of the thalamus
 ventral posterior complex of the thalamus
 ventral posterolateral nucleus of the thalamus
 ventral posteromedial nucleus of the thalamus
 posterior triangular thalamic nucleus
 subparafascicular nucleus
 subparafascicular area
 peripeduncular nucleus
 geniculate group
